GUN,KNIFE,RIFLE,augmented_flag,batches,epochs,learning_rate,mAP,model_type,optimizer
27.16,10.88,10.28,no,32,100,0.0001,16.11,ssd,sgd
41.87,32.83,6.93,yes,32,100,0.0001,27.21,ssd,sgd
35.86,24.41,11.79,no,32,200,0.0001,24.02,ssd,sgd
50.85,41.70,20.37,yes,32,200,0.0001,37.64,ssd,sgd
37.46,27.51,7.22,no,32,300,0.0001,24.06,ssd,sgd
49.80,42.24,28.41,yes,32,300,0.0001,40.15,ssd,sgd
56.29,42.79,32.83,yes,32,10,0.001,43.97,ssd,adam
50.46,44.82,36.65,yes,32,20,0.001,43.98,ssd,adam
59.48,41.43,26.00,yes,32,60,0.001,42.30,ssd,adam
56.15,46.20,29.20,yes,32,100,0.001,43.85,ssd,sgd
9.60,12.87,3.52,no,64,100,0.0001,8.66,ssd,sgd
14.26,14.03,4.04,no,64,200,0.0001,10.78,ssd,sgd
37.41,31.34,23.61,no,64,100,0.001,30.79,ssd,sgd
43.04,33.49,25.74,no,64,200,0.001,34.09,ssd,sgd
45.08,37.15,27.42,no,64,300,0.001,36.55,ssd,sgd
25.76,35.06,0.00,no,4800,1000,0.0001,20.27,yolo,adam
53.87,53.25,18.18,no,4800,2000,0.0001,41.77,yolo,adam
62.46,53.92,35.17,no,4800,3000,0.0001,50.52,yolo,adam
70.00,71.39,35.91,no,4800,4000,0.0001,59.10,yolo,adam
71.29,71.77,44.41,no,4800,5000,0.0001,62.49,yolo,adam
71.05,71.73,44.13,no,4800,6000,0.0001,62.30,yolo,adam
